city	state	population	police	police_personnel	fire	parks	library	council
Aberdeen	MD	15701	6969073	2902989	350000	110750	NA	611533
Aberdeen	SD	28124	5019150	4118800	2976800	4891630	1261300	3727900
Albuquerque	NM	559202	205348000	164040000	83329000	38856000	5425000	5121000
Alexandria	VA	156505	66846444	59482283	55518837	23522994	7115682	688708
Alpharetta	GA	66255	1077044	NA	570800	8586625	NA	364389
Ann Arbor	MI	120641	30033096	13943374	17340184	8812595	NA	438005
Arlington	VA	236842	72068068	64244611	64948843	43103220	14704271	1642161
Astoria	OR	9747	3043700	1662680	2133060	1111110	580805	15240
Atlanta	GA	479655	194060421	117897860	87874679	38935115	2405140	11443400
Auburn	AL	62996	14699035	13939996	7009235	6710821	2397719	182526
Augusta	ME	18635	5354994	3390703	5169189	1252146	844144	30765
Aurora	CO	363550	123434276	113523760	61916711	15088816	6526696	1406018
Austin	TX	935755	434475745	NA	200701475	169220389	54685661	7222964
Avon Park	FL	10386	1439575	NA	1470471	328747	NA	29556
Baton Rouge	LA	225362	93530380	39029060	51566340	NA	49411780	12881850
Bellevue	WA	142242	100682231	64614126	147226149	146263782	NA	1220433
Binghamton	NY	45503	12852891	10628880	10410078	1904906	750640	71820
Birmingham	AL	212021	92775797	86652411	67814889	18536422	15249920	4090648
Bloomington	MN	85394	27836107	21931352	5435871	10375374	NA	633487
Boise	ID	224300	70006493	51795274	59135630	35901910	13105668	876881
Bossier City	LA	67935	20981826	10643026	16021055	2847606	NA	295963
Boynton Beach	FL	75720	31567414	26214933	24676631	6683426	2511862	290194
Brainerd	MN	13389	4140052	NA	1047827	1175776	153500	2655174
Brattleboro	VT	6771	2182105	1547773	1948170	510759	613608	307351
Brentwood	TN	41987	8885175	7405950	8053060	2614880	2658495	232820
Brockton	MA	95777	28946214	14393655	26646785	3257799	2686150	801589
Brownsville	TX	182679	35087598	29662116	15266837	11275071	3725282	72000
Burbank	CA	5252	61759388	NA	36571893	25312293	7708733	691883
Butte	MT	34993	11453733	5748782	3640376	1978090	1172679	439437
Cambridge	MA	118977	63384730	59963320	52373985	5497910	12454360	2029355
Caribou	ME	7614	1691551	933750	2330246	694656	224591	775641
Carson City	NV	54467	20066758	9731743	9933529	4510303	1799314	268523
Casper	WY	58756	15711315	12790028	9372204	2043438	NA	473676
Chapel Hill	NC	59561	15751090	14203584	9587620	7533130	3424150	475446
Chicago	IL	2718555	1651842238	1576651690	604352338	487000000	71721915	21402255
Clearwater	FL	114015	44832880	34521317.6	28532540	31807990	7871950	391040
Cleveland	OH	387398	217908376	146376398	96588773	15352030	NA	7904984
Colorado Springs	CO	457502	113318337	105154497	20995359	4687353	9044061	863903
Columbus	OH	867628	359970422	332926400	271378625	26716803	NA	4881103
Corpus Christi	TX	324692	80933540	54108915	63440635	20305062	4505848	359827
Davis	CA	67988	19945541	NA	11215787	12442258	NA	239105
Detroit	MI	677155	328700000	251538250	122500000	NA	32940811	2655174
Dover	NH	31316	9532994	NA	9821524	2361663	1565776	555051
Duluth	MN	86004	24021100	14852500	18624500	3364300	4933500	204500
El Paso	TX	680354	146883449	104592689	117833287	36733609	9974698	1340551
Erie	PA	98156	37544568	15650450	27776422	2096546	NA	708514
Fayetteville	AR	83736	16972810	11953903	13434192	2461318	1705178	195937
Flint	MI	97161	24807939	17773110	10010295	1078288	NA	805214
Fort Lauderdale	FL	178783	130978409	107196255	97372948	50619870	NA	1602783
